IVOO,8.9217997E8
MBFI,MB Financial Inc,0.19
FULT,Fulton Financial Corp,0.19
INT,World Fuel Services Corp,0.19
FNB,FNB Corp/PA,0.18
ENR,Energizer Holdings Inc,0.18
TKR,Timken Co,0.18
VLY,Valley National Bancorp,0.18
ISIL,Intersil Corp,0.18
OI,Owens-Illinois Inc,0.18
TUP,Tupperware Brands Corp,0.18
NTCT,NetScout Systems Inc,0.18
CLGX,CoreLogic Inc/United States,0.18
VSM,VERSUM MATER,0.18
FR,First Industrial Realty Trust Inc,0.18
OFC,Corporate Office Properties Trust,0.18
TECD,Tech Data Corp,0.18
TXRH,Texas Roadhouse Inc,0.18
CNX,CONSOL Energy Inc,0.18
TCB,TCF Financial Corp,0.18
CUZ,Cousins Properties Inc,0.17
CLH,Clean Harbors Inc,0.17
EQY,Equity One Inc,0.17
DAN,Dana Holding Corp,0.17
CAB,Cabela's Inc,0.17
TDS,Telephone & Data Systems Inc,0.17
POL,PolyOne Corp,0.17
KMT,Kennametal Inc,0.17
LM,Legg Mason Inc,0.17
CMP,Compass Minerals International Inc,0.17
MTX,Minerals Technologies Inc,0.17
CABO,Cable One Inc,0.17
SM,SM Energy Co,0.17
EDR,Education Realty Trust Inc,0.17
WAFD,Washington Federal Inc,0.17
PBH,Prestige Brands Holdings Inc,0.16
WNR,Western Refining Inc,0.16
JOY,Joy Global Inc,0.16
NWE,NorthWestern Corp,0.16
CREE,Cree Inc,0.16
BWLD,Buffalo Wild Wings Inc,0.16
PNM,PNM Resources Inc,0.16
UFS,Domtar Corp,0.16
OII,Oceaneering International Inc,0.16
SLAB,Silicon Laboratories Inc,0.16
LPX,Louisiana-Pacific Corp,0.16
WEN,Wendy's Co,0.16
CATY,Cathay General Bancorp,0.16
SPN,Superior Energy Services Inc,0.16
CAKE,Cheesecake Factory Inc,0.16
HELE,Helen of Troy Ltd,0.15
AEO,American Eagle Outfitters Inc,0.15
KLXI,KLX Inc,0.15
AVP,Avon Products Inc,0.15
UE,Urban Edge Properties,0.15
LANC,Lancaster Colony Corp,0.15
CAA,CALATLANTIC GROU,0.15
DY,Dycom Industries Inc,0.15
ESL,Esterline Technologies Corp,0.15
BXS,BancorpSouth Inc,0.15
CLI,Mack-Cali Realty Corp,0.15
SFM,Sprouts Farmers Market Inc,0.15
GME,GameStop Corp,0.15
JW.A,John Wiley & Sons Inc,0.15
CEB,CEB Inc,0.14
KBR,KBR Inc,0.14
FII,Federated Investors Inc,0.14
MOH,Molina Healthcare Inc,0.14
GHC,Graham Holdings Co,0.14
LPNT,LifePoint Health Inc,0.14
KATE,Kate Spade & Co,0.14
CVG,Convergys Corp,0.14
ATI,Allegheny Technologies Inc,0.14
CMC,Commercial Metals Co,0.14
ODP,Office Depot Inc,0.14
DRQ,Dril-Quip Inc,0.14
MUSA,Murphy USA Inc,0.14
UNFI,United Natural Foods Inc,0.14
MCY,Mercury General Corp,0.14
GATX,GATX CORP,0.14
VSH,Vishay Intertechnology Inc,0.13
EAT,Brinker International Inc,0.13
OMI,Owens & Minor Inc,0.13
SLGN,Silgan Holdings Inc,0.13
MDRX,Allscripts Healthcare Solutions Inc,0.13
TPX,Tempur Sealy International Inc,0.13
IBOC,International Bancshares Corp,0.13
GVA,Granite Construction Inc,0.13
BIG,Big Lots Inc,0.13
MSA,MSA Safety Inc,0.13
DNOW,NOW Inc,0.13
ACIW,ACI Worldwide Inc,0.13
TRMK,Trustmark Corp,0.13
PZZA,Papa John's International Inc,0.13
RDC,Rowan Cos Plc,0.13
HNI,HNI Corp,0.13
MDP,Meredith Corp,0.13
PAY,VeriFone Systems Inc,0.12
ACXM,Acxiom Corp,0.12
OIS,Oil States International Inc,0.12
DBD,Diebold Inc,0.12
JCP,JC Penney Co Inc,0.12
ALEX,Alexander & Baldwin Inc,0.12
CVLT,CommVault Systems Inc,0.12
CCP,CARE CAPITAL PRO,0.12
WOR,Worthington Industries Inc,0.12
KMPR,Kemper Corp,0.12
LIVN,LIVANOVA PCL,0.12
CRS,Carpenter Technology Corp,0.11
DECK,Deckers Outdoor Corp,0.11
WBMD,WebMD Health Corp,0.11
BID,Sotheby's,0.11
NSR,NeuStar Inc,0.11
MLHR,Herman Miller Inc,0.11
PLT,Plantronics Inc,0.11
GMED,Globus Medical Inc,0.11
TIME,Time Inc,0.11
DV,DeVry Education Group Inc,0.11
AAN,Aaron's Inc,0.11
SYNA,Synaptics Inc,0.11
VSTO,Vista Outdoor Inc,0.1
GNW,Genworth Financial Inc,0.1
AKRX,Akorn Inc,0.1
PCH,Potlatch Corp,0.1
WPG,WP GLIMCHER Inc,0.1
NYT,New York Times Co,0.1
QCP,QUALITY CARE,0.1
CHS,Chico's FAS Inc,0.1
DDD,3D Systems Corp,0.1
JNS,Janus Capital Group Inc,0.1
CHDN,Churchill Downs Inc,0.1
FCN,FTI Consulting Inc,0.1
TPH,TRI Pointe Group Inc,0.1
HYH,Halyard Health Inc,0.1
DF,Dean Foods Co,0.1
GEF,Greif Inc,0.09
WDR,Waddell & Reed Financial Inc,0.09
SCOR,comScore Inc,0.09
KN,Knowles Corp,0.09
NE,Noble Corp plc,0.09
TGI,Triumph Group Inc,0.08
DNR,Denbury Resources Inc,0.08
KBH,KB Home,0.08
SAM,Boston Beer Co Inc,0.08
THC,Tenet Healthcare Corp,0.08
WERN,Werner Enterprises Inc,0.07
WETF,WisdomTree Investments Inc,0.07
RH,Restoration Hardware Holdings Inc,0.06
DO,Diamond Offshore Drilling Inc,0.06
FOSL,Fossil Group Inc,0.06
HSNI,HSN Inc,0.06
ISCA,International Speedway Corp,0.05
TR,Tootsie Roll Industries Inc,0.03
