BNCL,Beneficial Bancorp Inc,0.11
SAIA,Saia Inc,0.11
ACXM,Acxiom Corp,0.11
SYKE,Sykes Enterprises Inc,0.11
AIR,AAR Corp,0.11
NCI,Navigant Consulting Inc,0.11
UNT,Unit Corp,0.11
AAT,American Assets Trust Inc,0.11
VG,Vonage Holdings Corp,0.11
TERP,TerraForm Power Inc,0.11
VGR,Vector Group Ltd,0.11
AIN,Albany International Corp,0.1
IPCC,Infinity Property & Casualty Corp,0.1
NYLD,NRG Yield Inc,0.1
SEB,Seaboard Corp,0.1
BRKL,Brookline Bancorp Inc,0.1
CC,Chemours Co,0.1
GTLS,Chart Industries Inc,0.1
TBI,TrueBlue Inc,0.1
RMBS,Rambus Inc,0.1
LKFN,Lakeland Financial Corp,0.1
CYH,Community Health Systems Inc,0.1
TROX,Tronox Ltd,0.1
AMBA,Ambarella Inc,0.1
CHSP,Chesapeake Lodging Trust,0.1
GCO,Genesco Inc,0.1
SRG,SERITAGE GROWTH PROPERTIES CLA,0.1
ANDE,Andersons Inc,0.1
CHMT,Chemtura Corp,0.1
HLX,Helix Energy Solutions Group Inc,0.1
CKH,SEACOR Holdings Inc,0.1
ACOR,Acorda Therapeutics Inc,0.1
SPXC,SPX Corp,0.1
INVN,InvenSense Inc,0.1
AMKR,Amkor Technology Inc,0.1
GOV,Government Properties Income Trust,0.1
BID,Sotheby's,0.1
BEL,Belmond Ltd,0.1
STC,Stewart Information Services Corp,0.1
TPC,Tutor Perini Corp,0.1
FFIN,First Financial Bankshares Inc,0.1
SWM,Schweitzer-Mauduit International Inc,0.1
SCSC,ScanSource Inc,0.1
HAFC,Hanmi Financial Corp,0.1
PJC,Piper Jaffray Cos,0.1
SASR,Sandy Spring Bancorp Inc,0.1
LC,LendingClub Corp,0.1
RMAX,RE/MAX Holdings Inc,0.1
CMO,Capstead Mortgage Corp,0.1
WNC,Wabash National Corp,0.1
HSC,Harsco Corp,0.1
ROG,Rogers Corp,0.1
TRS,TriMas Corp,0.09
GCI,Gannett Co Inc,0.09
NXST,Nexstar Broadcasting Group Inc,0.09
CIR,CIRCOR International Inc,0.09
ALEX,Alexander & Baldwin Inc,0.09
CVG,Convergys Corp,0.09
BGG,Briggs & Stratton Corp,0.09
GLT,PH Glatfelter Co,0.09
CHCO,City Holding Co,0.09
WIRE,Encore Wire Corp,0.09
CPK,Chesapeake Utilities Corp,0.09
SHLM,A Schulman Inc,0.09
BUSE,First Busey Corp,0.09
LQ,La Quinta Holdings Inc,0.09
ISCA,International Speedway Corp,0.09
TRNO,Terreno Realty Corp,0.09
WSTC,West Corp,0.09
CPF,Central Pacific Financial Corp,0.09
DIOD,Diodes Inc,0.09
SVU,SUPERVALU Inc,0.09
STBZ,State Bank Financial Corp,0.09
MSGN,MSG NETWORKS INC CLASS A,0.09
MANT,ManTech International Corp/VA,0.09
