VTV,3.857E10
HP,Helmerich & Payne Inc,0.06
NI,NiSource Inc,0.06
KSS,Kohl's Corp,0.06
HCP,HCP Inc,0.06
JEC,Jacobs Engineering Group Inc,0.06
NYCB,New York Community Bancorp Inc,0.06
RE,Everest Re Group Ltd,0.06
OGE,OGE Energy Corp,0.06
ARW,Arrow Electronics Inc,0.06
AVY,Avery Dennison Corp,0.06
FLS,Flowserve Corp,0.05
LSXMK,LIBERTY MEDIA-C,0.05
PHM,PulteGroup Inc,0.05
MAN,ManpowerGroup Inc,0.05
AGNC,American Capital Agency Corp,0.05
WRB,WR Berkley Corp,0.05
SPLS,Staples Inc,0.05
XRX,Xerox Corp,0.05
AVT,Avnet Inc,0.05
BBBY,Bed Bath & Beyond Inc,0.05
PBCT,People's United Financial Inc,0.05
MRVL,Marvell Technology Group Ltd,0.05
AXS,Axis Capital Holdings Ltd,0.05
LAZ,Lazard Ltd,0.05
RS,Reliance Steel & Aluminum Co,0.05
S,Sprint Corp,0.05
DHI,DR Horton Inc,0.05
JWN,Nordstrom Inc,0.05
URI,United Rentals Inc,0.04
ALSN,Allison Transmission Holdings Inc,0.04
HFC,HollyFrontier Corp,0.04
GPS,Gap Inc,0.04
KIM,Kimco Realty Corp,0.04
UHS,Universal Health Services Inc,0.04
GRMN,Garmin Ltd,0.04
RL,Ralph Lauren Corp,0.04
TIF,Tiffany & Co,0.04
JNPR,Juniper Networks Inc,0.04
RJF,Raymond James Financial Inc,0.04
HRB,H&R Block Inc,0.04
INGR,Ingredion Inc,0.04
EPC,Edgewell Personal Care Co,0.04
Y,Alleghany Corp,0.04
CSC,Computer Sciences Corp,0.04
GT,Goodyear Tire & Rubber Co,0.03
CPT,Camden Property Trust,0.03
AA,Alcoa Inc,0.03
LSXMA,LIBERTY MEDIA- A,0.02
OC,Owens Corning,0.02
RAD,Rite Aid Corp,0.02
AIZ,Assurant Inc,0.02
LW,LAMB WESTON,0.02
EGN,Energen Corp,0.02
WFT,Weatherford International PLC,0.02
AGR,AVANGRID INC,0.02
