IVE,1.62900009E10
MAC,Macerich Co,0.08
SHW,Sherwin-Williams Co,0.08
MHK,Mohawk Industries Inc,0.08
EQR,Equity Residential,0.08
NI,NiSource Inc,0.08
MNST,Monster Beverage Corp,0.08
FLR,Fluor Corp,0.08
ILMN,Illumina Inc,0.07
HP,Helmerich & Payne Inc,0.07
MJN,Mead Johnson Nutrition Co,0.07
AES,AES Corp/VA,0.07
PVH,PVH Corp,0.07
LVLT,Level 3 Communications Inc,0.07
BBY,Best Buy Co Inc,0.07
LLL,L-3 Communications Holdings Inc,0.07
BXP,Boston Properties Inc,0.07
ESS,Essex Property Trust Inc,0.07
SRCL,Stericycle Inc,0.07
DPS,Dr Pepper Snapple Group Inc,0.07
PHM,PulteGroup Inc,0.07
KSS,Kohl's Corp,0.07
APA,Apache Corp,0.07
NTRS,Northern Trust Corp,0.07
LH,Laboratory Corp of America Holdings,0.07
PH,Parker-Hannifin Corp,0.07
JEC,Jacobs Engineering Group Inc,0.07
CF,CF Industries Holdings Inc,0.07
NLSN,Nielsen NV,0.06
FCX,Freeport-McMoRan Inc,0.06
KMX,CarMax Inc,0.06
LB,L Brands Inc,0.06
RHI,Robert Half International Inc,0.06
PKI,PerkinElmer Inc,0.06
XRX,Xerox Corp,0.06
FLS,Flowserve Corp,0.06
A,Agilent Technologies Inc,0.06
DISH,DISH Network Corp,0.06
TROW,T Rowe Price Group Inc,0.06
CBG,CBRE Group Inc,0.06
BBBY,Bed Bath & Beyond Inc,0.06
UHS,Universal Health Services Inc,0.06
ADSK,Autodesk Inc,0.06
PBCT,People's United Financial Inc,0.06
O,Realty Income Corp,0.06
SPLS,Staples Inc,0.06
CINF,Cincinnati Financial Corp,0.05
TIF,Tiffany & Co,0.05
HOLX,Hologic Inc,0.05
JNPR,Juniper Networks Inc,0.05
ADS,Alliance Data Systems Corp,0.05
AIZ,Assurant Inc,0.05
TGNA,TEGNA Inc,0.05
COH,Coach Inc,0.05
CHRW,CH Robinson Worldwide Inc,0.05
OMC,Omnicom Group Inc,0.05
CMA,Comerica Inc,0.05
NRG,NRG Energy Inc,0.05
COG,Cabot Oil & Gas Corp,0.05
XLNX,Xilinx Inc,0.05
DGX,Quest Diagnostics Inc,0.05
GPS,Gap Inc,0.05
COTY,Coty Inc,0.05
CMG,Chipotle Mexican Grill Inc,0.05
MNK,Mallinckrodt PLC,0.05
XEC,Cimarex Energy Co,0.05
CNP,CenterPoint Energy Inc,0.05
JWN,Nordstrom Inc,0.05
HRB,H&R Block Inc,0.05
RIG,Transocean Ltd,0.05
SIG,Signet Jewelers Ltd,0.04
LNT,Alliant Energy Corp,0.04
COL,Rockwell Collins Inc,0.04
SNA,Snap-on Inc,0.04
RL,Ralph Lauren Corp,0.04
CHD,Church & Dwight Co Inc,0.04
EVHC,Envision Healthcare Holdings Inc,0.04
CPB,Campbell Soup Co,0.04
MAA,Mid-America Apartment Communities Inc,0.04
NTAP,NetApp Inc,0.04
NAVI,Navient Corp,0.04
IPG,Interpublic Group of Cos Inc,0.04
NDAQ,NASDAQ OMX Group Inc,0.04
WAT,Waters Corp,0.04
MAS,Masco Corp,0.04
IFF,International Flavors & Fragrances Inc,0.04
ALK,Alaska Air Group Inc,0.04
MKC,McCormick & Co Inc/MD,0.04
SEE,Sealed Air Corp,0.04
R,Ryder System Inc,0.04
TSCO,Tractor Supply Co,0.04
TDC,Teradata Corp,0.04
FL,Foot Locker Inc,0.04
EQT,EQT Corp,0.04
PDCO,Patterson Cos Inc,0.04
EXPD,Expeditors International of Washington Inc,0.04
AVY,Avery Dennison Corp,0.03
OKE,ONEOK Inc,0.03
RRC,Range Resources Corp,0.03
WYN,Wyndham Worldwide Corp,0.03
AN,AutoNation Inc,0.03
BF.B,Brown-Forman Corp,0.03
WU,Western Union Co,0.03
FRT,Federal Realty Investment Trust,0.03
REG,Regency Centers Corp,0.03
IRM,Iron Mountain Inc,0.03
HBI,Hanesbrands Inc,0.03
MAT,Mattel Inc,0.03
CBOE,CBOE Holdings Inc,0.02
NFX,Newfield Exploration Co,0.02
CSRA,CSRA INC,0.02
CHK,Chesapeake Energy Corp,0.02
TRIP,TripAdvisor Inc,0.02
FSLR,First Solar Inc,0.02
ALLE,Allegion PLC,0.02
FTR,Frontier Communications Corp,0.02
FMC,FMC Corp,0.02
FBHS,Fortune Brands Home & Security Inc,0.02
LEG,Leggett & Platt Inc,0.02
COO,Cooper Cos Inc,0.02
NWS,News Corp,0.01
SWN,Southwestern Energy Co,0.01
FLIR,FLIR Systems Inc,0.01
