VOOV,9.1017997E8
LH,Laboratory Corp of America Holdings,0.07
NTRS,Northern Trust Corp,0.07
NLSN,Nielsen NV,0.06
NWSA,News Corp,0.06
BBBY,Bed Bath & Beyond Inc,0.06
RHI,Robert Half International Inc,0.06
MJN,Mead Johnson Nutrition Co,0.06
SPLS,Staples Inc,0.06
XRX,Xerox Corp,0.06
PKI,PerkinElmer Inc,0.06
PBCT,People's United Financial Inc,0.06
O,Realty Income Corp,0.06
TROW,T Rowe Price Group Inc,0.06
OMC,Omnicom Group Inc,0.06
A,Agilent Technologies Inc,0.06
XEC,Cimarex Energy Co,0.06
UHS,Universal Health Services Inc,0.06
AIZ,Assurant Inc,0.06
CMG,Chipotle Mexican Grill Inc,0.06
RIG,Transocean Ltd,0.05
ADSK,Autodesk Inc,0.05
SIG,Signet Jewelers Ltd,0.05
CHRW,CH Robinson Worldwide Inc,0.05
CMA,Comerica Inc,0.05
COH,Coach Inc,0.05
ADS,Alliance Data Systems Corp,0.05
COTY,Coty Inc,0.05
NRG,NRG Energy Inc,0.05
COG,Cabot Oil & Gas Corp,0.05
XLNX,Xilinx Inc,0.05
MNK,Mallinckrodt PLC,0.05
JWN,Nordstrom Inc,0.05
CBG,CBRE Group Inc,0.05
GPS,Gap Inc,0.05
RL,Ralph Lauren Corp,0.05
SNA,Snap-on Inc,0.05
DGX,Quest Diagnostics Inc,0.05
TGNA,TEGNA Inc,0.05
CNP,CenterPoint Energy Inc,0.05
EVHC,Envision Healthcare Holdings Inc,0.05
CPB,Campbell Soup Co,0.05
CINF,Cincinnati Financial Corp,0.05
HRB,H&R Block Inc,0.05
LNT,Alliant Energy Corp,0.05
NAVI,Navient Corp,0.05
TDC,Teradata Corp,0.04
IRM,Iron Mountain Inc,0.04
FRT,Federal Realty Investment Trust,0.04
HOLX,Hologic Inc,0.04
JNPR,Juniper Networks Inc,0.04
SEE,Sealed Air Corp,0.04
COL,Rockwell Collins Inc,0.04
NDAQ,NASDAQ OMX Group Inc,0.04
EQT,EQT Corp,0.04
HBI,Hanesbrands Inc,0.04
MAA,Mid-America Apartment Communities Inc,0.04
IPG,Interpublic Group of Cos Inc,0.04
TIF,Tiffany & Co,0.04
TSCO,Tractor Supply Co,0.04
R,Ryder System Inc,0.04
ALK,Alaska Air Group Inc,0.04
CHD,Church & Dwight Co Inc,0.04
NTAP,NetApp Inc,0.04
FTR,Frontier Communications Corp,0.04
MAS,Masco Corp,0.04
MAT,Mattel Inc,0.04
MKC,McCormick & Co Inc/MD,0.04
WAT,Waters Corp,0.04
IFF,International Flavors & Fragrances Inc,0.04
RRC,Range Resources Corp,0.04
AVY,Avery Dennison Corp,0.03
PBI,Pitney Bowes Inc,0.03
FMC,FMC Corp,0.03
WYN,Wyndham Worldwide Corp,0.03
BF.B,Brown-Forman Corp,0.03
WU,Western Union Co,0.03
PDCO,Patterson Cos Inc,0.03
EXPD,Expeditors International of Washington Inc,0.03
AN,AutoNation Inc,0.03
