NFRA,8.8180998E8
152 HK,SHENZHEN INTERNATIONAL HOLDINGS LTD COMMON STOCK,0.06
RHK GR,RHOEN-KLINIKUM AG COMMON STOCK EUR 0,0.06
WPRTS MK,WESTPORTS HOLDINGS BHD COMMON STOCK MYR 0.1,0.06
9793 JP,DAISEKI CO LTD COMMON STOCK JPY,0.05
CTT PL,CTT-CORREIOS DE PORTUGAL SA COMMON STOCK EUR 0.5,0.05
CLNX SM,CELLNEX TELECOM SA COMMON STOCK EUR 0.25,0.05
THC,TENET HEALTHCARE CORP COMMON STOCK USD 0.05,0.04
FWONK,LIBERTY MEDIA CORP-LIBERTY FORMULA ONE USD 0.01,0.03
CYH,COMMUNITY HEALTH SYSTEMS INC COMMON STOCK USD 0.01,0.02
8422 TT,CLEANAWAY CO LTD COMMON STOCK TWD 10,0.02
INW IM,INFRASTRUTTURE WIRELESS ITALIANE SPA COMMON STOCK,0.02
SO,SOUTHERN CO/THE COMMON STOCK USD 5,0.01
ED,CONSOLIDATED EDISON INC COMMON STOCK USD 0.1,0.01
KDCREIT SP,KEPPEL DC REIT REIT SGD,0.01
SIRI,SIRIUS XM HOLDINGS INC COMMON STOCK USD 0.001,0.0
HLS,HEALTHSOUTH CORP COMMON STOCK USD 0.01,0.0
PAGP,PLAINS GP HOLDINGS LP COMMON STOCK USD,0.0
