IJJ,6.0500004E9
ALEX,Alexander & Baldwin Inc,0.12
DO,Diamond Offshore Drilling Inc,0.12
CHS,Chico's FAS Inc,0.11
UE,Urban Edge Properties,0.11
TPX,Tempur Sealy International Inc,0.11
ISCA,International Speedway Corp,0.1
DECK,Deckers Outdoor Corp,0.1
NUS,Nu Skin Enterprises Inc,0.1
HNI,HNI Corp,0.1
PCH,Potlatch Corp,0.08
SAM,Boston Beer Co Inc,0.08
FOSL,Fossil Group Inc,0.08
VSTO,Vista Outdoor Inc,0.07
DNR,Denbury Resources Inc,0.07
PLT,Plantronics Inc,0.06
DDD,3D Systems Corp,0.04
WETF,WisdomTree Investments Inc,0.04
TR,Tootsie Roll Industries Inc,0.03
