IYC,8.6970003E8
HGV,HILTON GRAND VACATIONS INC,0.05
GRPN,Groupon Inc,0.05
SFLY,Shutterfly Inc,0.05
GPI,Group 1 Automotive Inc,0.05
DSW,DSW Inc,0.05
NWS,News Corp,0.05
LGFA,LIONS GATE ENTERTAINMENT VOTING CO,0.04
DDS,Dillard's Inc,0.04
ABG,Asbury Automotive Group Inc,0.04
GCO,Genesco Inc,0.04
HSNI,HSN Inc,0.04
LILA,LIBERTY GLOBAL LILAC PLC CLASS A,0.04
HMHC,Houghton Mifflin Harcourt Co,0.03
LTRPA,Liberty TripAdvisor Holdings Inc,0.03
GCI,Gannett Co Inc,0.03
FWONA,LIBERTY MEDIA FORMULA ONE CORP SER,0.02
ANF,Abercrombie & Fitch Co,0.02
ASNA,Ascena Retail Group Inc,0.02
CBS.A,Two River Bancorp,0.02
GNC,GNC Holdings Inc,0.01
VIA,Viacom Inc,0.01
LBTYB,LIBERTY GLOBAL PLC CLASS B,0.0
