RWO,2.76999987E9
B6ZFBN,Argosy Property Limited,0.04
8806,Daibiru Corporation,0.04
BMP385,Redefine Properties Ltd.,0.04
B11HJT,Frasers Commercial Trust,0.04
NXRT,NexPoint Residential Trust Inc,0.04
CDR,Cedar Realty Trust Inc,0.03
B671GT,Fibra Uno Administracion SA de CV,0.03
B0PVBN,Prosperity Real Estate Investment Trust,0.03
3283,Nippon Prologis REIT Inc,0.03
CRR.U,Crombie Real Estate Investment Trust,0.03
BY8L4Z,Gateway Lifestyle Group,0.03
B18TLR,Cambridge Industrial Trust,0.03
3269,Advance Residence Investment Corporation,0.03
8984,Daiwa House REIT Investment Corporation,0.03
3281,GLP-J REIT,0.03
678673,GuocoLand Limited,0.02
8985,Japan Hotel Reit Investment Corporation,0.02
B05QNL,Immobiliare Grande Distribuzione SIIQ S.p.A.,0.02
CASH_EUR,Euro,0.02
B06HD8,Astro Japan Property Group Limited,0.02
3463,Ichigo Hotel REIT Investment Corp.,0.02
AHP,Ashford Hospitality Prime Inc,0.02
BDZT4M,Segro PLC (REIT) Rights Issue 17 For Rg shares (Nil Paid),0.01
475497,Deutsche EuroShop AG,0.01
8963,Invincible Investment Corp.,0.01
CASH_PHP,Philippines Peso,0.01
Identifier,Name,0.0
CASH_CAD,Canadian Dollar,0.0
BF0B36,Kungsleden AB Rights 2017-24.03.17 For Shares Kungsleden Rg I17,0.0
CASH_CHF,Swiss Franc,0.0
CASH_SEK,Swedish Krona,0.0
CASH_AUD,Australian Dollar,0.0
CASH_JPY,Japanese Yen,0.0
CASH_HKD,Hong Kong Dollar,0.0
CASH_BRL,Brazilian Real,0.0
CASH_GBP,British Pounds,0.0
CASH_MXN,Mexican Peso,0.0
CASH_NZD,New Zealand Dollar,0.0
CASH_SGD,Singapore Dollar,0.0
CASH_ZAR,South African Rand,0.0
CASH_USD,U.S. Dollar,0.0
