DGRO,3.1E9
KSS,Kohl's Corp,0.09
TSO,Tesoro Corp,0.09
XL,XL Group PLC,0.08
LNC,Lincoln National Corp,0.08
ATVI,Activision Blizzard Inc,0.08
WYN,Wyndham Worldwide Corp,0.08
PNR,Pentair PLC,0.08
CE,Celanese Corp,0.08
LLL,L-3 Communications Holdings Inc,0.08
NI,NiSource Inc,0.08
RMD,ResMed Inc,0.08
ZBH,Zimmer Biomet Holdings Inc,0.08
MKC,McCormick & Co Inc/MD,0.08
ROST,Ross Stores Inc,0.08
IFF,International Flavors & Fragrances Inc,0.07
WR,Westar Energy Inc,0.07
ATO,Atmos Energy Corp,0.07
UNM,Unum Group,0.07
TIF,Tiffany & Co,0.07
CHD,Church & Dwight Co Inc,0.07
PBCT,People's United Financial Inc,0.07
ALV,Autoliv Inc,0.07
HUM,Humana Inc,0.07
EFX,Equifax Inc,0.07
LEG,Leggett & Platt Inc,0.06
GPS,Gap Inc,0.06
APH,Amphenol Corp,0.06
UGI,UGI Corp,0.06
BR,Broadridge Financial Solutions Inc,0.06
CMA,Comerica Inc,0.06
RPM,RPM International Inc,0.06
HRL,Hormel Foods Corp,0.06
ALB,Albemarle Corp,0.06
SNA,Snap-on Inc,0.06
WFM,Whole Foods Market Inc,0.06
AMTD,TD Ameritrade Holding Corp,0.06
AVY,Avery Dennison Corp,0.06
VVC,Vectren Corp,0.06
FAF,First American Financial Corp,0.05
HUBB,HUBBELL INC,0.05
MTN,Vail Resorts Inc,0.05
EXPD,Expeditors International of Washington Inc,0.05
SON,Sonoco Products Co,0.05
NFG,National Fuel Gas Co,0.05
FL,Foot Locker Inc,0.05
KSU,Kansas City Southern,0.05
WTR,Aqua America Inc,0.05
INGR,Ingredion Inc,0.05
ROP,Roper Technologies Inc,0.05
EV,Eaton Vance Corp,0.05
AXS,Axis Capital Holdings Ltd,0.05
PII,Polaris Industries Inc,0.05
MDU,MDU Resources Group Inc,0.05
UMPQ,Umpqua Holdings Corp,0.05
AIZ,Assurant Inc,0.05
EXPE,Expedia Inc,0.04
MAN,ManpowerGroup Inc,0.04
HII,Huntington Ingalls Industries Inc,0.04
CFR,Cullen/Frost Bankers Inc,0.04
STLD,Steel Dynamics Inc,0.04
POR,Portland General Electric Co,0.04
